"No.","Time","Source","Destination","Protocol","Length","Info"
"47091","1288.120143244","fe80::8860:e9ff:fe59:2cd5","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","ICMPv6","86","Neighbor Solicitation for 2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236 from 8a:60:e9:59:2c:d5"
"47092","1288.120182766","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","fe80::8860:e9ff:fe59:2cd5","ICMPv6","78","Neighbor Advertisement 2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236 (sol)"
"47093","1288.200691135","2404:6800:4002:80b::2001","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  42118 [ACK] Seq=9079 Ack=1198 Win=67840 Len=0 TSval=1318954649 TSecr=3073336413"
"47094","1292.354422669","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2a04:4e42:25::760","TCP","86","[TCP Keep-Alive] 58092  >  443 [ACK] Seq=1170 Ack=85044 Win=73088 Len=0 TSval=3758400278 TSecr=157975902"
"47095","1292.362390176","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2a04:4e42:25::760","TCP","86","[TCP Keep-Alive] 58090  >  443 [ACK] Seq=1772 Ack=639334 Win=92160 Len=0 TSval=3758400286 TSecr=3812212556"
"47096","1292.370478169","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2a04:4e42:25::760","TCP","86","[TCP Keep-Alive] 54318  >  443 [ACK] Seq=2488 Ack=569181 Win=510592 Len=0 TSval=3758400294 TSecr=1054080502"
"47097","1292.382492651","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2a04:4e42:25::760","TCP","86","[TCP Keep-Alive] 58096  >  443 [ACK] Seq=1170 Ack=32532 Win=64256 Len=0 TSval=3758400306 TSecr=3957114144"
"47098","1292.402545412","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2a04:4e42:25::760","TCP","86","[TCP Keep-Alive] 58098  >  443 [ACK] Seq=1170 Ack=32048 Win=64256 Len=0 TSval=3758400326 TSecr=3220329234"
"47099","1292.413430035","2a04:4e42:25::760","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  58092 [ACK] Seq=85044 Ack=1171 Win=145408 Len=0 TSval=158020971 TSecr=3758263439"
"47100","1292.413430922","2a04:4e42:25::760","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  58090 [ACK] Seq=639334 Ack=1773 Win=146432 Len=0 TSval=3812257610 TSecr=3758263579"
"47101","1292.418522174","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2606:4700:9c61:a18:c6c6:48e:72a1:ef17","TCP","86","[TCP Keep-Alive] 37902  >  443 [ACK] Seq=55465 Ack=3417 Win=64256 Len=0 TSval=1646146235 TSecr=1784100288"
"47102","1292.427553188","2a04:4e42:25::760","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  58096 [ACK] Seq=32532 Ack=1171 Win=145408 Len=0 TSval=3957159191 TSecr=3758263446"
"47103","1292.430071870","2a04:4e42:25::760","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  54318 [ACK] Seq=569181 Ack=2489 Win=150528 Len=0 TSval=1054125560 TSecr=3758264934"
